Word,Creole_word,Creole_name
accelérer," akséléré, pilé ",Martinique
accélérateur, aksélératè ,Martinique
acheter," genyen, achté ",Martinique
acteur, aktè ,Martinique
action, aksyon ,Martinique
actionnaire, aksyonnè ,Martinique
actrice, aktris ,Martinique
admettre, admèt ,Martinique
admirable, admirab ,Martinique
admirateur, admiratè ,Martinique
admirer, admiré ,Martinique
afè, affaire ,Martinique
africain, afritjen ,Martinique
afrique, lafrik ,Martinique
agréable, agréyab ,Martinique
agriculture," agrikilti, lagrikilti ",Martinique
agir, aji ,Martinique
aide, pal ,Martinique
aiguille, zédjui ,Martinique
allumer, limen ,Martinique
allumette, zalimèt ,Martinique
ami," zanmi, konpè, padna ",Martinique
amie," makôkôt, zanmi ",Martinique
amitié, lanmityé ,Martinique
ampoule, zanpoul ,Martinique
anémone, koukoun-lanmè ,Martinique
anguille, zandji ,Martinique
anneau, zanno ,Martinique
appât, lak ,Martinique
arbre, piébwa ,Martinique
"arête (de meuble, de mur etc.)", kan ,Martinique
assurance," lasirans, asirans ",Martinique
assurer, asiré ,Martinique
assureur, asirè ,Martinique
atelier," latilyé, atilyé ",Martinique
attacher," taché, maré ",Martinique
attacher le mouchoir de tête, kalanndé madras-la ,Martinique
attacheuse de canne à sucre, marez ,Martinique
attitude," latitid, atitid ",Martinique
aujourd'hui, jòdi ,Martinique
avortement, avotman ,Martinique
avorter, avòté ,Martinique
avorton, tigrenn-chien ,Martinique
bague, bag ,Martinique
blaguer," pwan lablag,  badojé ",Martinique
bille," mab, agat, kristal, kannik ",Martinique
blagueur, badjolè ,Martinique
bal, bal ,Martinique
balai, balé ,Martinique
balancer, balansé ,Martinique
baleine, balenn ,Martinique
balle, boul ,Martinique
ballon, boule ,Martinique
balourd, lous mamé ,Martinique
balourdise, manniè lous mamé ,Martinique
banc, ban ,Martinique
bambou, banbou ,Martinique
banquet, granpenteng ,Martinique
beau, bèl ,Martinique
beauté," belté, laboté, boté ",Martinique
bête (animal), bet ,Martinique
bête," bèt, kouyon, tèbè, ababa, apoda, atjoupanm ",Martinique
beurre, bè ,Martinique
blanc," blan (couleur),  bétjé-fwans (race) ",Martinique
blanchir," blanchi,  mété lablanni (linge) ",Martinique
bleu , blé ,Martinique
boire," bwè, bwésonnen ",Martinique
boite, bwèt ,Martinique
boite à ordures," bwèt zôdi, bonm zôdi ",Martinique
boite en métal, bonm ,Martinique
bosquet, razyé ,Martinique
bosse, bôs ,Martinique
bossu," bosi, bôsko ",Martinique
bouche," bouch, djôl, djèl ",Martinique
bouch bée, èstébékwé ,Martinique
bouger," brennen, rimyen, rimen ",Martinique
bougie," bouji, balenn, blan-balenn ",Martinique
bourdon, vonvon ,Martinique
bourse, bous ,Martinique
