,words
biggis,biggest 
Biggs,Fatso 
Bikaaz,because 
Bike-back,]}
Bikkle,Food 
Bill,Chill 
Bill-bak,Relax / chill 
Bills,One hundred dollars ($100.00) 
Bimma,BMW 
Bin,been 
binggy,A catapult. 
bird-bush,]}
bisi,"Cola, A reddish-brown fruit usually chewed by the elderly."
bissy,]}
bitch-lick,]}
bitch-up,]}
Biznizz,Business 
Blabba-mout,"Chatterbox,Blabbermouth "
black-heart,]}
Black-Up,Smoke Weed 
Blacka,Dark skin black man 
Blackbud-seh-fi-im-pikni-fus,Blackbird says her child comes first. 
blackcat,coochie 
Blaze,smoke weed 
Bleach,]}
Bleachaz,]}
bless-up,]}
Blessed,Everything is cool 
blinky-blinky,firefly 
Blood-Fiah,Blood Fire 
Bloodclaat,Blood Cloth 
Bloodcleet,F**k 
Bloodseed,]}
Blouse-an-skirts,Blouse and skirts 
Blousenawt,Darn 
Blow-wow,Holy crap 
Blue-Draws,]}
Blue-movie,Porn 
Blues,Pornography 
Blurtnawt,What the hell 
Blurtneet,Oh my god 
Bly,"Chance,Chance "
Board-man,]}
Boasie,boastful / ostentatious 
Bobo-dread,Dreadlocks Man 
Bodderation,Botheration 
Bogle,]}
Bolo-Slush,]}
Bong-belly-pickney,Greedy Person 
Bongo,Black 
Boogooyaga,Degenerate 
booguyaga,low class / worthless 
Boom-flick,Somersault 
boonoonoonoos,"sweetheart,sweetheart,special person "
Boops,Sugar Daddy 
Boots,"Condom/Shoes,Condoms "
Booyaka,Bang! 
Borosie,Rude person / jerk 
Bou-yah,Around here 
boun-fi,sure to 
bounce-off,]}
Bounty-Killer,Holy crap 
Bout,About 
Bow,]}
Bowcat,]}
BOX,]}
Box-Food,]}
Box-Juice,]}
Boy-Affi,Boy have to 
Braff,Showing off 
Bragadaps,Suddenly 
brap,gunshot sound effect 
Brawla,Brawler 
Brawta,Bonus/Extra 
Breath-easy,Relax/calm down 
Bredda,"Brother,Brother "
Breddah,"brother,Brother "
Bredren,"Brethren,Brethren "
breed,]}
Brejin,Brethren 
Brethren,Brother 
Bright,Rude 
Bringle,"Angry,Agitated "
Brinks,Rich/wealthy Person 
Bro-Gad,Bro God 
Broughtupsy,"Good Manners,Good manners "
Brown-man,Light skinned black male 
bruck-out,misbehave 
Bruk,"broke,Semen,break "
Bruk-calabash-bring-new-one,"Broke the calabash, bring a new one "
Bruk-It-Dung,Break It Down 
bruk-off,break off 
Bruk-out,misbehave 
Bruk-pocket,Broke pocket 
Bruk-up,Break 
bruk-weh,to break away; to break loose 
Bubble,]}
Bubu,"Fool,Fool "
Buck,Run into 
Buck-up,"bump into, Meet, stumble into "
Bud,"bird,Bird "
Buddy,Penis 
bull-bakka,bully 
Bulla,]}
Bully-beef,Canned corned beef 
bumaye-bumaya,]}
Bumba,Holy Crap 
Bumbo,F**k 
Bumbo-pussy-raasclaat,]}
Bumborass,F**k 
Bumbowhole,Motherf**ker 
Bumpa,Buttocks 
bumper,butts 
Bun,"burn,annoy,Spiced Bun,Cheat "
Bun-a-fyah,Denounce 
Bun-dem,Bothers them 
bun-out,To rebuke or lambaste 
bun-up,burn up / burnt up 
Bun-weed,"smoke weed,smoke weed "
bunk-ah-rest,relax or take a nap. 
Bunks,bump 
Burga,Burger 
Bush-Tea,]}
buss,burst
Busta,]}
Butta,Butter 
Butu,Hick
Buv,Above 
bwile,boil 
bankra,basket 
Banton,"a storyteller,Story teller "
Bapps,A mistress 
Baps,suddenly 
Bashment,"Party,Party "
Bashy,"Hot,Hot,Hot "
batimamselle,Dragonfly 
batta-bruise,abuse 
Batta-Ears-Gyal,Skank 
Battam,bottom 
Battery,gang bang /gang rape 
Batty,"ass,Bum,Buttocks "
batty-bwoy,F**got 
Batty-Crease,Ass crack 
Batty-Gyal,Dyke 
Batty-hole,"asshole,Ass hole "
