,Acrolect,Creole_word,Creole_name
0,accelérer," akséléré, pilé ",Martinique
1,accélérateur, aksélératè ,Martinique
2,acheter," genyen, achté ",Martinique
3,acteur, aktè ,Martinique
4,action, aksyon ,Martinique
5,actionnaire, aksyonnè ,Martinique
6,actrice, aktris ,Martinique
7,admettre, admèt ,Martinique
8,admirable, admirab ,Martinique
9,admirateur, admiratè ,Martinique
10,admirer, admiré ,Martinique
11,afè, affaire ,Martinique
12,africain, afritjen ,Martinique
13,afrique, lafrik ,Martinique
14,agréable, agréyab ,Martinique
15,agriculture, agrikilti ; lagrikilti ,Martinique
16,agir, aji ,Martinique
17,aide, pal ,Martinique
18,aiguille, zédjui ,Martinique
19,allumer, limen ,Martinique
20,allumette, zalimèt ,Martinique
21,ami," zanmi, konpè, padna ",Martinique
22,amie," makôkôt, zanmi ",Martinique
23,amitié, lanmityé ,Martinique
24,ampoule, zanpoul ,Martinique
25,anémone, koukoun-lanmè ,Martinique
26,anguille, zandji ,Martinique
27,anneau, zanno ,Martinique
28,appât, lak ,Martinique
29,arbre, piébwa ,Martinique
30,"arête (de meuble, de mur etc.)", kan ,Martinique
31,assurance," lasirans, asirans ",Martinique
32,assurer, asiré ,Martinique
33,assureur, asirè ,Martinique
34,atelier," latilyé, atilyé ",Martinique
35,attacher," taché, maré ",Martinique
36,attacher le mouchoir de tête, kalanndé madras-la ,Martinique
37,attacheuse de canne à sucre, marez ,Martinique
38,attitude," latitid, atitid ",Martinique
39,aujourd'hui, jòdi ,Martinique
40,avortement, avotman ,Martinique
41,avorter, avòté ,Martinique
42,avorton, tigrenn-chien ,Martinique
43,bague, bag ,Martinique
44,blaguer, pwan lablag ; badojé ,Martinique
45,bille," mab, agat, kristal, kannik ",Martinique
46,blagueur, badjolè ,Martinique
47,bal, bal ,Martinique
48,balai, balé ,Martinique
49,balancer, balansé ,Martinique
50,baleine, balenn ,Martinique
51,balle, boul ,Martinique
52,ballon, boule ,Martinique
53,balourd, lous mamé ,Martinique
54,balourdise, manniè lous mamé ,Martinique
55,banc, ban ,Martinique
56,bambou, banbou ,Martinique
57,banquet, granpenteng ,Martinique
58,beau, bèl ,Martinique
59,beauté," belté, laboté, boté ",Martinique
60,bête (animal), bet ,Martinique
61,bête," bèt, kouyon, tèbè, ababa, apoda, atjoupanm ",Martinique
62,beurre, bè ,Martinique
63,blanc, blan (couleur) ; bétjé-fwans (race) ,Martinique
64,blanchir, blanchi ; mété lablanni (linge) ,Martinique
65,bleu , blé ,Martinique
66,boire, bwè ; bwésonnen ,Martinique
67,boite, bwèt ,Martinique
68,boite à ordures," bwèt zôdi, bonm zôdi ",Martinique
69,boite en métal, bonm ,Martinique
70,bosquet, razyé ,Martinique
71,bosse, bôs ,Martinique
72,bossu," bosi, bôsko ",Martinique
73,bouche," bouch, djôl, djèl ",Martinique
74,bouch bée, èstébékwé ,Martinique
75,bouger," brennen, rimyen, rimen ",Martinique
76,bougie," bouji, balenn, blan-balenn ",Martinique
77,bourdon, vonvon ,Martinique
78,bourse, bous ,Martinique
79,boudonner, vonvonner ,Martinique
80,buisson, razyé ,Martinique
81,buste, bis ,Martinique
82,but, bi ,Martinique
83,buveur," tafyatè, wonmyé, bivè",Martinique
84,canard , kanna. ,Martinique
85,cancer, kansè ,Martinique
86,caresse," karès, miyonnaj ",Martinique
87,caresser," karésé, miyonnen ",Martinique
88,cauchemar, vyérèv ,Martinique
89,cercueil," sèrtjèz, sèrkèy ",Martinique
90,chandelle, chandèl ,Martinique
91,chandelier, chandelier ,Martinique
92,changer," chanjé, mofwazé ",Martinique
93,chance, chance ,Martinique
94,chanceux, chansé ,Martinique
95,chaleur, chalè ,Martinique
96,champion, mapipi ,Martinique
97,chanter, chanté ,Martinique
98,chanteur, chantè ,Martinique
99,chat, chat ,Martinique
100,chaude-pisse, chôlpis ,Martinique
101,chaudière, chodyè ,Martinique
102,chauffer, chofé ,Martinique
103,chauffeur, chofè ,Martinique
104,chauve," youl, tèt-kokosèk ",Martinique
105,chercher," chèché, chaché ",Martinique
106,chéri, doudou ,Martinique
107,chien, chyen ,Martinique
108,chomage, chomaj ,Martinique
109,chomeur, chomè ,Martinique
110,cigare, siga ,Martinique
111,cigarette, sigarèt ,Martinique
112,cinéma," siléma, sinéma ",Martinique
113,clitoris, landjèt ,Martinique
114,cocufiage, kout-kôn ,Martinique
115,cocufier, kônen ,Martinique
116,coincer , kwennsé. ,Martinique
117,colline, môn ,Martinique
118,colonne vertébrale, larèldo ,Martinique
119,combat," konba, goumen, ladjè ",Martinique
120,combattre," konbat, bat, goumen, fè/lévé ladjè ",Martinique
121,compte, kont ,Martinique
122,compter, konté ,Martinique
123,concert, konsè ,Martinique
124,concombre, konkonm ,Martinique
125,confondre,  konfonn ,Martinique
126,confiture, konfiti ,Martinique
127,confusion," bankoulélé, lélékou, manjékochon ",Martinique
128,connaître, konnèt ,Martinique
129,construction, konstriksyon ,Martinique
130,construire, konstwi ,Martinique
131,contradiction," kontradiksyon, dékontwolaj ",Martinique
132,contrebande, kontribann ,Martinique
133,contrebandier, kontribandyé ,Martinique
134,contredire," kontridi, dékontwolé ",Martinique
135,contremaître, koumandè (en agriculture) ; kontrimèt ,Martinique
136,convaincre, konvenk ,Martinique
137,corps, kô ,Martinique
138,costaud," kôsto, malaba ",Martinique
139,coupe," koup (objet) ; lakoup (de la canne, de la banane etc.) ",Martinique
140,coupeur de canne, koupè kann ,Martinique
141,courtisane, matadô ,Martinique
142,coutiser, zayé ,Martinique
143,cul," bonda, dèryè, tjou ",Martinique
144,culture, kilti ,Martinique
145,cultivateur, kiltivatè ,Martinique
146,cultiver, kiltivé ,Martinique
147,cyclône, siklôn ,Martinique
148,danser, dansé ,Martinique
149,dansè, danseur ,Martinique
150,dé, dé ,Martinique
151,découvrir, dékouvè ,Martinique
152,dentiste, dantis ,Martinique
153,déborder, débòdé ; débowné ,Martinique
154,débrouillard, débouya ,Martinique
155,débrouiller (se), débouyé kò'w ,Martinique
156,défendre, défendre ,Martinique
157,déjà," ja, za ",Martinique
158,démangeaison," gratel, lagratel ",Martinique
159,demi, dimi ,Martinique
160,demi-heure, dimi-è ,Martinique
161,demi-mondaine, matadò ,Martinique
162,démolir," dékalé, dépotjolé ",Martinique
163,démolition," dékalaj, dépotjolaj ",Martinique
164,derrière, dèyè ,Martinique
165,derrière (cul)," deriè, tjou, bonda ",Martinique
166,deux, dé ,Martinique
167,devenir, vini ,Martinique
168,devenir (le), divini ,Martinique
169,devin," séyansié, gadè-d-zafè ",Martinique
170,deviner, divinen ; fè séyans ,Martinique
171,devoir (un), divwè ,Martinique
172,devoir," dwet, dwé ",Martinique
173,devoir (de l'argent), dwé ,Martinique
174,directeur," dirèktè, mèt-a-manyôk ",Martinique
175,direction, dirèksyon ,Martinique
176,divinasyon, séyans ,Martinique
177,doigt, dwèt ,Martinique
178,dormir, dômi ,Martinique
179,dos, do ,Martinique
180,doux, dous ,Martinique
181,drague, zay ,Martinique
182,dragueur, zayè,Martinique
183,écaille, zékay ,Martinique
184,éclair, zéklè ,Martinique
185,écorcher," kôché, griji ",Martinique
186,écorchure," kôchaj, griji, grijisman ",Martinique
187,écraser, krazé ,Martinique
188,écrevisse," kribich, zabitan ",Martinique
189,écrire," ékri, matjé ",Martinique
190,écrivain," écrivain, matjè ",Martinique
191,électeur, élèktè ,Martinique
192,élection, élèksyon ,Martinique
193,élève, zélèv ,Martinique
