creole_word,word,creole name
a,"is, are  ",Jamaican Creole
a bi,being  ,Jamaican Creole
a call,calling  ,Jamaican Creole
a cum,coming  ,Jamaican Creole
a dat fi appen to yuh,You had that coming  ,Jamaican Creole
A door,outside  ,Jamaican Creole
A duh,doing  ,Jamaican Creole
a fi,it’s for  ,Jamaican Creole
a fi mi,"is for me, it is mine  ",Jamaican Creole
a get,getting  ,Jamaican Creole
A gi,giving  ,Jamaican Creole
A go,going  ,Jamaican Creole
A Gwine,I'm going to  ,Jamaican Creole
a hav,having  ,Jamaican Creole
a lie,lying  ,Jamaican Creole
a luk,looking  ,Jamaican Creole
A move,moving  ,Jamaican Creole
A nex,another  ,Jamaican Creole
A nuh,isn't  ,Jamaican Creole
A nuh everything gud fi eat gu,Not everything that's worth eating is worth talking about  ,Jamaican Creole
A nuh mi,It's not me.  ,Jamaican Creole
A nuh nutten,It's nothing  ,Jamaican Creole
A nuh same day leaf drop a wat,It's not the same day a leaf drops to the bottom of the water that it begins to rots  ,Jamaican Creole
a play,playing  ,Jamaican Creole
a seh,saying  ,Jamaican Creole
A si,seeing  ,Jamaican Creole
a sidung,sitting  ,Jamaican Creole
a start,starting  ,Jamaican Creole
A suh,That's how  ,Jamaican Creole
A suh mi duh mi ting,This is how I do my thing  ,Jamaican Creole
A suh mi tan,That's the way I am  ,Jamaican Creole
A suh wi dweet,This is how we do it  ,Jamaican Creole
A suh wi stay,That's how we are  ,Jamaican Creole
a talk,talking  ,Jamaican Creole
a tek,taking  ,Jamaican Creole
a tell,telling  ,Jamaican Creole
a that wid dem,That's the problem with them.  ,Jamaican Creole
a tink,thinking  ,Jamaican Creole
a try,trying  ,Jamaican Creole
a wah,What is it?  ,Jamaican Creole
A wah dis,What is this?  ,Jamaican Creole
A wah duh dem,What's wrong with them / What's their problem  ,Jamaican Creole
A wah duh yuh,"what is wrong with you, What is wrong with you  ",Jamaican Creole
a wah happen to yuh,What's wrong with you  ,Jamaican Creole
A wah suh,Why is it so?  ,Jamaican Creole
A watta guwaan yasso,What's going on here?  ,Jamaican Creole
A weh dem feel like,What the hell is their problem?  ,Jamaican Creole
A weh yuh deh,Where are you?  ,Jamaican Creole
a wuk,working  ,Jamaican Creole
Abeng,Maroon cow-horn instrument,Jamaican Creole
Abuja,A firefly  ,Jamaican Creole
Accompong,A historic maroon village located in St. Elizabeth Jamaica,Jamaican Creole
Ackee,Ackee is one of the most popular fruits in Jamaica. It is Jamaica’s national fruit and also Jamaica’s national dish combined with salt fish. Ackee is derived from the original name Ankye which comes from the Twi language of Ghana.,Jamaican Creole
Actoba,october  ,Jamaican Creole
Addi,Of the  ,Jamaican Creole
Adeebl,Audible  ,Jamaican Creole
aff,off  ,Jamaican Creole
Affect,Affec  ,Jamaican Creole
afta,after  ,Jamaican Creole
Age paper,Birth Certificate  ,Jamaican Creole
Aguh,Ago  ,Jamaican Creole
Ah,"Of, A  ",Jamaican Creole
Ah fi mi,It's for me  ,Jamaican Creole
Ah gud,Serves you right  ,Jamaican Creole
Ah suh di ting tan,That's the way it is.  ,Jamaican Creole
Baan,born  ,Jamaican Creole
baas,boss  ,Jamaican Creole
Baba,barber  ,Jamaican Creole
Baby love,Darling  ,Jamaican Creole
Baby madda,Baby Mother  ,Jamaican Creole
Babylon,Police man  ,Jamaican Creole
Babylon system,Slang expression used to refer a corrupt government or organization that facilitates the rich  and exploits the poor  ,Jamaican Creole
babylon water,spirit cane / liqour  ,Jamaican Creole
bac,back  ,Jamaican Creole
back a bush,Deep rural or country area  ,Jamaican Creole
Back a Yard,Expression used to refer to one’s home town or country… particularly in Jamaica. The literal translation is “Back at home”.,Jamaican Creole
back answer,talk back  ,Jamaican Creole
back chat,talk back  ,Jamaican Creole
back talk,talk back  ,Jamaican Creole
Back yuh fist,Masturbate  ,Jamaican Creole
backa,behind  ,Jamaican Creole
backazz,back way  ,Jamaican Creole
Backfist,masturbate  ,Jamaican Creole
Backfoot,Slang term used as an expression of surprise,Jamaican Creole
Backra,Slave Master  ,Jamaican Creole
Backside,A Jamaican slang word which is used mostly when you are surprise.,Jamaican Creole
backway,backwards  ,Jamaican Creole
bad bad bad,very bad/ badly  ,Jamaican Creole
Bad Gyal,bad girl  ,Jamaican Creole
Bad like yaz,Awesome  ,Jamaican Creole
Bad luck wus dan obeah,Bad luck is worse than witchcraft  ,Jamaican Creole
bad lucky,Unlucky or in an unfortunate situation,Jamaican Creole
Bad man,Gangster  ,Jamaican Creole
bad man wagon,BMW  ,Jamaican Creole
Bad mind a kill them,They’re dying of envy  ,Jamaican Creole
Bad up,rough up  ,Jamaican Creole
Bad wud,Curse Word  ,Jamaican Creole
Badda,"bother, bother, Bother  ",Jamaican Creole
Badda Badda,constantly bother  ,Jamaican Creole
Badman ting,Criminal activity  ,Jamaican Creole
Badmind,"jealous / envious, envious person, Envious  ",Jamaican Creole
Badness,violent behavior  ,Jamaican Creole
badwud,"badword,  profanity,  an expletive   ",Jamaican Creole
Bafan,"clumsy, Clumsy  ",Jamaican Creole
Bag juice,A cheap beverage made of water and syrup that is sold in a small plastic bag.,Jamaican Creole
Bag O Wire,Betrayer  ,Jamaican Creole
Bagga,a lot of  ,Jamaican Creole
Bagga mouth,all talk but no action  ,Jamaican Creole
bagga tings,A lot of things  ,Jamaican Creole
Baggy,underpants  ,Jamaican Creole
baide,"Bathe, bathe  ",Jamaican Creole
Bait,Punk  ,Jamaican Creole
bait up di thing,to set someone up for a downfall or cause disappointment or embarrassment,Jamaican Creole
Bak A Waal,Slum  ,Jamaican Creole
Bakka,back of/behind  ,Jamaican Creole
bakkle,"Battle, Bottle  ",Jamaican Creole
Bakklefield,Battlefield  ,Jamaican Creole
balance,behave well  ,Jamaican Creole
Ball an chain,Strict control  ,Jamaican Creole
Ball head,Bald Head  ,Jamaican Creole
balm oil,A special oil used when conducting spiritual healings or other obeah rituals,Jamaican Creole
Balm yard,A location where healing rituals are practice using obeah or other forms of dark magic,Jamaican Creole
Bammy,A traditional Jamaican Flat round pancake-looking bread made from grated cassava from which the bitter juice has been extracted. The cassava is pressed downed to decrease thickness and then baked on both sides. It is normally served with fried fish or any other fried food.,Jamaican Creole
Banana boat,"Slang term for a boat or ship that is used to transport immigrants from the Caribbean to first world countries such as the England, United States or Canada. The ships were primarily used to transport bananas from the Caribbean but would also offer passage for anyone from Caribbean going to the returning country (America, England etc…) at a cheaper cost than normal passenger ships.",Jamaican Creole
Bandu,Hair band  ,Jamaican Creole
Bang belly,Big bellied  ,Jamaican Creole
Banga,Burner Phone  ,Jamaican Creole
Bangarang,"trouble or disturbance, Old  items, Commotion  ",Jamaican Creole
Bangle,bracelet  ,Jamaican Creole
bank robbas,Slang for Desert Trek Clarks,Jamaican Creole
bankra,basket ,Jamaican Creole
Banton,"a storyteller,Story teller ",Jamaican Creole
Bapps,A mistress ,Jamaican Creole
Baps,suddenly ,Jamaican Creole
Bashment,"Party,Party ",Jamaican Creole
Bashy,"Hot,Hot,Hot ",Jamaican Creole
batimamselle,Dragonfly ,Jamaican Creole
batta bruise,abuse ,Jamaican Creole
Batta Ears Gyal,Skank ,Jamaican Creole
Battam,bottom ,Jamaican Creole
Battery,gang bang /gang rape ,Jamaican Creole
Batty,"ass,Bum,Buttocks ",Jamaican Creole
batty bwoy,F**got ,Jamaican Creole
Batty Crease,Ass crack ,Jamaican Creole
Batty Gyal,Dyke ,Jamaican Creole
Batty hole,"asshole,Ass hole ",Jamaican Creole
Batty Man,"Gay,F**got ",Jamaican Creole
Batty peg,Ass cheek ,Jamaican Creole
Batty Rider,Booty shorts ,Jamaican Creole
Batty wash,"Stimulation of the anus with the tongue,Rim job ",Jamaican Creole
bawl,Cry ,Jamaican Creole
Bawl out,Cry out ,Jamaican Creole
Bawn,Born ,Jamaican Creole
Bax,Slap ,Jamaican Creole
Bax Cova,Oh my God ,Jamaican Creole
Bax Dung,Slap you down ,Jamaican Creole
Bay rum,Aromatic alcohol rub used for medicinal purposes.,Jamaican Creole
bayfoot,barefoot ,Jamaican Creole
Bbc,f*cking ,Jamaican Creole
Bbrcl,F*cking hell ,Jamaican Creole
Beat dem bad,Surpass ,Jamaican Creole
becum,become ,Jamaican Creole
Bedroom Bully,A man or woman that is the primary initiator of sex in the bedroom. He/she controls sex and therefore controls the bedroom,Jamaican Creole
