Words,Definition,,Country
a,"is, are  ",,Jamaican Creole
a bi,being  ,,Jamaican Creole
a call,calling  ,,Jamaican Creole
a cum,coming  ,,Jamaican Creole
a dat fi appen to yuh,You had that coming  ,,Jamaican Creole
A door,outside  ,,Jamaican Creole
A duh,doing  ,,Jamaican Creole
a fi,it’s for  ,,Jamaican Creole
a fi mi,"is for me, it is mine  ",,Jamaican Creole
a get,getting  ,,Jamaican Creole
A gi,giving  ,,Jamaican Creole
A go,going  ,,Jamaican Creole
A Gwine,I'm going to  ,,Jamaican Creole
a hav,having  ,,Jamaican Creole
a lie,lying  ,,Jamaican Creole
a luk,looking  ,,Jamaican Creole
A move,moving  ,,Jamaican Creole
A nex,another  ,,Jamaican Creole
A nuh,isn't  ,,Jamaican Creole
A nuh everything gud fi eat gu,Not everything that's worth eating is worth talking about  ,,Jamaican Creole
A nuh mi,It's not me.  ,,Jamaican Creole
A nuh nutten,It's nothing  ,,Jamaican Creole
A nuh same day leaf drop a wat,It's not the same day a leaf drops to the bottom of the water that it begins to rots  ,,Jamaican Creole
a play,playing  ,,Jamaican Creole
a seh,saying  ,,Jamaican Creole
A si,seeing  ,,Jamaican Creole
a sidung,sitting  ,,Jamaican Creole
a start,starting  ,,Jamaican Creole
A suh,That's how  ,,Jamaican Creole
A suh mi duh mi ting,This is how I do my thing  ,,Jamaican Creole
A suh mi tan,That's the way I am  ,,Jamaican Creole
A suh wi dweet,This is how we do it  ,,Jamaican Creole
A suh wi stay,That's how we are  ,,Jamaican Creole
a talk,talking  ,,Jamaican Creole
a tek,taking  ,,Jamaican Creole
a tell,telling  ,,Jamaican Creole
a that wid dem,That's the problem with them.  ,,Jamaican Creole
a tink,thinking  ,,Jamaican Creole
a try,trying  ,,Jamaican Creole
a wah,What is it?  ,,Jamaican Creole
A wah dis,What is this?  ,,Jamaican Creole
A wah duh dem,What's wrong with them / What's their problem  ,,Jamaican Creole
A wah duh yuh,"what is wrong with you, What is wrong with you  ",,Jamaican Creole
a wah happen to yuh,What's wrong with you  ,,Jamaican Creole
A wah suh,Why is it so?  ,,Jamaican Creole
A watta guwaan yasso,What's going on here?  ,,Jamaican Creole
A weh dem feel like,What the hell is their problem?  ,,Jamaican Creole
A weh yuh deh,Where are you?  ,,Jamaican Creole
a wuk,working  ,,Jamaican Creole
Abeng,Maroon cow-horn instrument,,Jamaican Creole
Abuja,A firefly  ,,Jamaican Creole
Accompong,A historic maroon village located in St. Elizabeth Jamaica,,Jamaican Creole
Ackee,Ackee is one of the most popular fruits in Jamaica. It is Jamaica’s national fruit and also Jamaica’s national dish combined with salt fish. Ackee is derived from the original name Ankye which comes from the Twi language of Ghana.,,Jamaican Creole
Actoba,october  ,,Jamaican Creole
Addi,Of the  ,,Jamaican Creole
Adeebl,Audible  ,,Jamaican Creole
aff,off  ,,Jamaican Creole
Affect,Affec  ,,Jamaican Creole
afta,after  ,,Jamaican Creole
