word,creole_word,creole name
"a, an",youn,Haitian
aback,pa sipriz (taken by surprise),Haitian
abandon,"abandone, kite",Haitian
abase,"abese (to lower in rank-office-prestige), ~diminye (to lower physical)",Haitian
abash,demoralize (to destroy the self-confidence of),Haitian
abbreviate,abreje,Haitian
abdicate,abdike,Haitian
abduct,"kidnape, anlve",Haitian
abet," ensite (incite, urge on, instigate), eksite (excite)",Haitian
abhor," deteste (loathe, to regard with extreme   repugnance), rayi (hate)",Haitian
abide,respekte (respect),Haitian
ability,"abilite, aptitud",Haitian
abject,"abjèk, degoutan",Haitian
able,kapab,Haitian
abolish,aboli,Haitian
abound,"gen anpil, abonde",Haitian
about,"apropo, a",Haitian
above,"anlè, soutèt",Haitian
abrade (to srcape),"graje, fwote (to rub), kòche",Haitian
abreast,okouran,Haitian
abridge,abreje,Haitian
abroad,lòtbò,Haitian
abrupt,"avrip, brid sou kou, bripbrip",Haitian
absence,absans,Haitian
absolve,absoud,Haitian
absorb,absòbe,Haitian
abstain,abstrenn,Haitian
absurd,absid,Haitian
abuse," abi,  abize",Haitian
academic,akademik,Haitian
accede,"aksede, rantre",Haitian
accept,aksepte,Haitian
access,"aksè,  aksede, rantre",Haitian
accident,aksidan,Haitian
accommodate,"akomode, loje",Haitian
accompany,akonpanye,Haitian
accord,"akò,  akòde",Haitian
according to,daprè,Haitian
accost,"akoste, bòde",Haitian
account,"kont,  jistifye, eksplike",Haitian
accumulate,"akimile, rasanble",Haitian
accurate,"egzak, byen mezire",Haitian
accustom,familyarize,Haitian
ache,"doulè, mal",Haitian
achieve,"reyalize, reyisi",Haitian
acid,asid,Haitian
acquaint,fè konesans,Haitian
acquaintance,"konesans, zanmi",Haitian
acquire,"ranmase, trouve",Haitian
acquit,akite,Haitian
acrid,"rak, brak",Haitian
across,atravè,Haitian
across from,an fas,Haitian
act,v aji,Haitian
act,"n zak, akt",Haitian
active,aktif,Haitian
activity,aktivite,Haitian
actuate,"balanse, aksyonen",Haitian
acute,"pwenti, egu",Haitian
adapt,adapte,Haitian
add,"adisyone, ajoute, ogmante",Haitian
addict,"droge, adikte",Haitian
addle," pouri (rotten, lousy)",Haitian
address,adrès,Haitian
adequate,"adekwa, sifizan",Haitian
adjective,adjektif,Haitian
adjourn,"ajoune, sispann",Haitian
administration,administrasyon,Haitian
administrative,administratif,Haitian
admire,admire,Haitian
admirer,"admiratè, fanatik",Haitian
admit,"admèt, aksepte",Haitian
admonish,"joure (curse at), avèti (warning or,  advice)",Haitian
adolscent,n adolescan,Haitian
adopt,adopte,Haitian
adore,adore,Haitian
adorn,"òne, dekore",Haitian
adult,"n adilt, granmoun",Haitian
advance,"n avans, avalwa",Haitian
advance,"v avanse, bay avalwa",Haitian
advantage,avantij,Haitian
adventure,"risk, istwa dròl",Haitian
advertisement,"reklam, piblisite",Haitian
advice,konèy,Haitian
advisor,konseyev,Haitian
affable,afab,Haitian
affair,"afè, kesyon, lyezon",Haitian
affect,"afekte, touche, trouble",Haitian
affirm,"afime, deklare",Haitian
affix,"afiche, plake",Haitian
afford,gen mwayen,Haitian
affront,n afron,Haitian
affront,v afronte,Haitian
afoot,apye,Haitian
afraid,"pè, efreye",Haitian
afresh,"ankò, a nouvo",Haitian
Africa,Afrik,Haitian
after,"apre, dèyè",Haitian
afternoon,aprèmidi,Haitian
~in the afternoon,d laprèmidi,Haitian
~this afternoon,sètaprèmidi,Haitian
again,ankò,Haitian
against,"kont, opoze",Haitian
age, laj,Haitian
