,word,creole_word,creole name
0,"a, an",youn,hatian
1,aback,pa sipriz (taken by surprise),hatian
2,abandon,"abandone, kite",hatian
3,abase,"abese (to lower in rank-office-prestige), ~diminye (to lower physical)",hatian
4,abash,demoralize (to destroy the self-confidence of),hatian
5,abbreviate,abreje,hatian
6,abdicate,abdike,hatian
7,abduct,"kidnape, anlve",hatian
8,abet,"ensite (incite, urge on, instigate), eksite (excite)",hatian
9,abhor,"deteste (loathe, to regard with extreme",hatian
10,abide,respekte (respect),hatian
11,ability,"abilite, aptitud",hatian
12,abject,"abjèk, degoutan",hatian
13,able,kapab,hatian
14,abolish,aboli,hatian
15,abound,"gen anpil, abonde",hatian
16,about,"apropo, a",hatian
17,above,"anlè, soutèt",hatian
18,abrade (to srcape),"graje, fwote (to rub), kòche",hatian
19,abreast,okouran,hatian
20,abridge,abreje,hatian
21,abroad,lòtbò,hatian
22,abrupt,"avrip, brid sou kou, bripbrip",hatian
23,absence,absans,hatian
24,absolve,absoud,hatian
25,absorb,absòbe,hatian
26,abstain,abstrenn,hatian
27,absurd,absid,hatian
28,abuse,"(n) abi, (v) abize",hatian
29,academic,akademik,hatian
30,accede,"aksede, rantre",hatian
31,accept,aksepte,hatian
32,access,"aksè, (v) aksede, rantre",hatian
33,accident,aksidan,hatian
34,accommodate,"akomode, loje",hatian
35,accompany,akonpanye,hatian
36,accord,"akò, (v) akòde",hatian
37,according to,daprè,hatian
38,accost,"akoste, bòde",hatian
39,account,"kont, (v) jistifye, eksplike",hatian
40,accumulate,"akimile, rasanble",hatian
41,accurate,"egzak, byen mezire",hatian
42,accustom,familyarize,hatian
43,ache,"doulè, mal",hatian
44,achieve,"reyalize, reyisi",hatian
45,acid,asid,hatian
46,acquaint,fè konesans,hatian
47,acquaintance,"konesans, zanmi",hatian
48,acquire,"ranmase, trouve",hatian
49,acquit,akite,hatian
50,acrid,"rak, brak",hatian
51,across,atravè,hatian
52,across from,an fas,hatian
53,act,v aji,hatian
54,act,"n zak, akt",hatian
55,active,aktif,hatian
56,activity,aktivite,hatian
57,actuate,"balanse, aksyonen",hatian
58,acute,"pwenti, egu",hatian
59,adapt,adapte,hatian
60,add,"adisyone, ajoute, ogmante",hatian
61,addict,"droge, adikte",hatian
62,addle,"pouri (rotten, lousy)",hatian
63,address,adrès,hatian
64,adequate,"adekwa, sifizan",hatian
65,adjective,adjektif,hatian
66,adjourn,"ajoune, sispann",hatian
67,administration,administrasyon,hatian
68,administrative,administratif,hatian
69,admire,admire,hatian
70,admirer,"admiratè, fanatik",hatian
71,admit,"admèt, aksepte",hatian
72,admonish,"joure (curse at), avèti (warning or",hatian
73,adolscent,n adolescan,hatian
74,adopt,adopte,hatian
75,adore,adore,hatian
76,adorn,"òne, dekore",hatian
77,adult,"n adilt, granmoun",hatian
78,advance,"n avans, avalwa",hatian
79,advance,"v avanse, bay avalwa",hatian
80,advantage,avantij,hatian
81,adventure,"risk, istwa dròl",hatian
82,advertisement,"reklam, piblisite",hatian
83,advice,konèy,hatian
84,advisor,konseyev,hatian
85,affable,afab,hatian
86,affair,"afè, kesyon, lyezon",hatian
87,affect,"afekte, touche, trouble",hatian
88,affirm,"afime, deklare",hatian
89,affix,"afiche, plake",hatian
90,afford,gen mwayen,hatian
91,affront,n afron,hatian
92,affront,v afronte,hatian
93,afoot,apye,hatian
94,afraid,"pè, efreye",hatian
