,word,creole_word,creole name
0,kangaroo,kangourou,hatian
1,karate,karate,hatian
2,keen,"fen, file, pike",hatian
3,keep,"kenbe, sere",hatian
4,kerosene,"kewozin, gaz lanp",hatian
5,"kettle, large",chodwon,hatian
6,key,kle,hatian
7,kick,"kou, (v) frape ak pye",hatian
8,kid,timoun,hatian
9,kidney,ren,hatian
10,kidney stone,wòch nan ren,hatian
11,kill,"tuiye, touye",hatian
12,killer,asasen,hatian
13,kilometer,kilomèt,hatian
14,kin,paran,hatian
15,kind,janti,hatian
16,kindness,jantiyès,hatian
17,kindling,beapen,hatian
18,king,wa,hatian
19,kink,"pli, ne",hatian
20,kiss,bo,hatian
21,kitchen,"kizin, lakizin",hatian
22,kite,"sèvolan , kap",hatian
23,kitten,chat,hatian
24,knack,talan,hatian
25,knave,koken,hatian
26,knee,jenou,hatian
27,kneecap,zo jenou,hatian
28,kneeling,a jenou (ajenou),hatian
29,kneel down,mete ajenou v.,hatian
30,knife,kouto,hatian
31,knit,"brode, trikote",hatian
32,knock,frape,hatian
33,knot,ne,hatian
34,knot,kòde v.,hatian
35,know,konnen,hatian
36,knowledge,"konesans, save",hatian
37,known,rekoni,hatian
38,knuckle,"jwenti dwèt, oslè",hatian
39,case (lawsuit),ka,hatian
40,quarter (fouth),ka,hatian
41,case,"ka (kès, bwat)",hatian
42,quart,"ka galon, ka",hatian
43,quart,ka,hatian
44,cable,kab (telegram),hatian
45,wire,kab,hatian
46,"to finish, finished",kaba,hatian
47,"uproar, commotion",kabal,hatian
48,bed,kabann,hatian
49,tray,kabare (kabarè),hatian
50,(n) head,kabès,hatian
51,(n) bread (large bun),kabich,hatian
52,"nap, doze off",kabicha,hatian
53,cabin,kabin,hatian
54,junkwood,kabinaj bwa,hatian
55,office,kabinè,hatian
56,goat,kabrit,hatian
57,carriage,kabwèt,hatian
58,(n) cash,kach,hatian
59,"cash, foreskin",kach,hatian
60,hide v.,"kache, sere, foure",hatian
61,conceal,kache,hatian
62,cache,kachèt,hatian
63,clay (smoking) pipe,kachimbo,hatian
64,jail,kacho,hatian
65,beat,kadans,hatian
66,cadence,kadans,hatian
67,corpse,kadav,hatian
68,rape,kadejak,hatian
69,cardinal,kadinal,hatian
70,lock,"kadna, (v) kadnase, bloke",hatian
71,padlock,kadna,hatian
72,lock (v),"kadnase, bloke",hatian
73,gift,"kado, don",hatian
74,present n,kado,hatian
75,pub,"kafe, bistro",hatian
76,bar,kafe,hatian
77,cafe,"kafe, bwat",hatian
78,coffee,kafe,hatian
79,intersection,kafou,hatian
80,coax v,kajole,hatian
81,carcass,kakas,hatian
82,bit,kal,hatian
83,"okra, gumbo",kalalou,hatian
84,calamity,kalamite,hatian
85,gourde (food),kalbas,hatian
86,squash n,kalbas,hatian
87,beat v.,kale,hatian
88,beat,kale,hatian
89,California,Kalifòni,hatian
90,qualify v.,kalifye,hatian
91,such,"kalite, tèl",hatian
92,attribute n,kalite,hatian
93,quality,kalite,hatian
94,calculate,kalkile,hatian
95,calm,kalm,hatian
96,snail,kalmason,hatian
97,calm v,kalme,hatian
98,cage,kalòj,hatian
99,slander,kalomnye,hatian
100,pelt v,kalonnen,hatian
101,camera,"kamera, kodak",hatian
102,truck,kamyon,hatian
103,so-so,kan sa,hatian
104,when,"kan, kilè, likè",hatian
105,couch,kanape,hatian
106,burglar,kanbriyolè,hatian
107,candidate,kandida,hatian
108,kangaroo,kangourou,hatian
109,can n,kanistè,hatian
110,commarade,kanmarad,hatian
111,indeed,kanmenm,hatian
112,duck,kanna,hatian
113,cane,kann,hatian
114,scoundrel,kannay,hatian
115,gun,kanno,hatian
116,campaign,kanpagn,hatian
117,pick v (something up),kanpe,hatian
118,raise v,kanpe,hatian
119,camp n,kanpman,hatian
120,pants,kanson,hatian
121,slack n,kanson,hatian
122,canteen,kantin,hatian
123,quantity,kantite,hatian
