,creole_word,word,creole name
0,a,['future marker'],Louisiana Creole
1,a,"['of', ' to', ' from', ' at']",Louisiana Creole
2,abichud,['used to'],Louisiana Creole
3,(l)abitan,['farmer'],Louisiana Creole
4,(l)abri,['shelter'],Louisiana Creole
5,adrwa,['right (direction)'],Louisiana Creole
6,Afrikin; afrikin,['African'],Louisiana Creole
7,agosh,['left'],Louisiana Creole
8,(l)aj,['age'],Louisiana Creole
9,aklé,['lock'],Louisiana Creole
10,akoz,['because'],Louisiana Creole
11,alé,['go'],Louisiana Creole
12,alentour,"['approximately', ' around', ' about']",Louisiana Creole
13,alfabèt,['alphabet'],Louisiana Creole
14,Alman; alman,['German'],Louisiana Creole
15,alon,"[""let's""]",Louisiana Creole
16,alòr,"['interjthen', ' so', "" Fr. 'donc'""]",Louisiana Creole
17,(z)ami,['friend'],Louisiana Creole
18,(l)amour,['love'],Louisiana Creole
19,(l)amourè,"['boyfriend', ' lover (male)']",Louisiana Creole
20,(z)an,['year (for counting age)'],Louisiana Creole
21,(l)andoui,['andouille (sausage)'],Louisiana Creole
22,(l)ané,['year'],Louisiana Creole
23,anmær,['bitter'],Louisiana Creole
24,aout,['August'],Louisiana Creole
0,ap(é),['progressive marker'],Louisiana Creole
1,apré,['after'],Louisiana Creole
2,aprémidi,['nphrafternoon'],Louisiana Creole
3,aprenn,"['learn', ' teach']",Louisiana Creole
4,"arété, arèt",['stop'],Louisiana Creole
5,"arivé, ariv","['arrive', ' happen']",Louisiana Creole
6,ariyin,['nothing'],Louisiana Creole
7,asé,['adv.enough'],Louisiana Creole
8,"ashté, ashèt",['buy'],Louisiana Creole
9,asit,['sit'],Louisiana Creole
10,astœr,['now'],Louisiana Creole
11,aswa,['tonight'],Louisiana Creole
12,aværti,['warn'],Louisiana Creole
13,avan,['before'],Louisiana Creole
14,"avansé, avans",['progress'],Louisiana Creole
15,avèk,['with'],Louisiana Creole
16,avril,['April'],Louisiana Creole
0,ap(é),['progressive marker'],Louisiana Creole
1,apré,['after'],Louisiana Creole
2,aprémidi,['nphrafternoon'],Louisiana Creole
3,aprenn,"['learn', ' teach']",Louisiana Creole
4,"arété, arèt",['stop'],Louisiana Creole
5,"arivé, ariv","['arrive', ' happen']",Louisiana Creole
6,ariyin,['nothing'],Louisiana Creole
7,asé,['adv.enough'],Louisiana Creole
