,creole_word,word,creole name
0,a,['future marker'],Lousiana Creole
1,a,"['of', ' to', ' from', ' at']",Lousiana Creole
2,abichud,['used to'],Lousiana Creole
3,(l)abitan,['farmer'],Lousiana Creole
4,(l)abri,['shelter'],Lousiana Creole
5,adrwa,['right (direction)'],Lousiana Creole
6,Afrikin; afrikin,['African'],Lousiana Creole
7,agosh,['left'],Lousiana Creole
8,(l)aj,['age'],Lousiana Creole
9,aklé,['lock'],Lousiana Creole
10,akoz,['because'],Lousiana Creole
11,alé,['go'],Lousiana Creole
12,alentour,"['approximately', ' around', ' about']",Lousiana Creole
13,alfabèt,['alphabet'],Lousiana Creole
14,Alman; alman,['German'],Lousiana Creole
15,alon,"[""let's""]",Lousiana Creole
16,alòr,"['interjthen', ' so', "" Fr. 'donc'""]",Lousiana Creole
17,(z)ami,['friend'],Lousiana Creole
18,(l)amour,['love'],Lousiana Creole
19,(l)amourè,"['boyfriend', ' lover (male)']",Lousiana Creole
20,(z)an,['year (for counting age)'],Lousiana Creole
21,(l)andoui,['andouille (sausage)'],Lousiana Creole
22,(l)ané,['year'],Lousiana Creole
23,anmær,['bitter'],Lousiana Creole
24,aout,['August'],Lousiana Creole
0,ap(é),['progressive marker'],Lousiana Creole
1,apré,['after'],Lousiana Creole
2,aprémidi,['nphrafternoon'],Lousiana Creole
3,aprenn,"['learn', ' teach']",Lousiana Creole
4,"arété, arèt",['stop'],Lousiana Creole
5,"arivé, ariv","['arrive', ' happen']",Lousiana Creole
6,ariyin,['nothing'],Lousiana Creole
7,asé,['adv.enough'],Lousiana Creole
8,"ashté, ashèt",['buy'],Lousiana Creole
9,asit,['sit'],Lousiana Creole
10,astœr,['now'],Lousiana Creole
11,aswa,['tonight'],Lousiana Creole
12,aværti,['warn'],Lousiana Creole
13,avan,['before'],Lousiana Creole
14,"avansé, avans",['progress'],Lousiana Creole
15,avèk,['with'],Lousiana Creole
16,avril,['April'],Lousiana Creole
0,ap(é),['progressive marker'],Lousiana Creole
1,apré,['after'],Lousiana Creole
2,aprémidi,['nphrafternoon'],Lousiana Creole
3,aprenn,"['learn', ' teach']",Lousiana Creole
4,"arété, arèt",['stop'],Lousiana Creole
5,"arivé, ariv","['arrive', ' happen']",Lousiana Creole
6,ariyin,['nothing'],Lousiana Creole
7,asé,['adv.enough'],Lousiana Creole
8,"ashté, ashèt",['buy'],Lousiana Creole
9,asit,['sit'],Lousiana Creole
10,astœr,['now'],Lousiana Creole
11,aswa,['tonight'],Lousiana Creole
12,aværti,['warn'],Lousiana Creole
13,avan,['before'],Lousiana Creole
14,"avansé, avans",['progress'],Lousiana Creole
15,avèk,['with'],Lousiana Creole
16,avril,['April'],Lousiana Creole
0,babìnn,['lip'],Lousiana Creole
1,bæk,['back'],Lousiana Creole
2,bal,['dance (social gathering)'],Lousiana Creole
3,balé,['broom'],Lousiana Creole
4,"balé, bal",['sweep'],Lousiana Creole
5,"baloté, balot",['stagger'],Lousiana Creole
6,(la)bank,['bank'],Lousiana Creole
7,banndjo,['banjo'],Lousiana Creole
8,(la)barb,['beard'],Lousiana Creole
9,barbi,['catfish'],Lousiana Creole
10,"barbouyé, barbouy","['dirty', ' get dirty']",Lousiana Creole
11,"baré, bar","['lock', ' block']",Lousiana Creole
12,bat,"['fight', ' beat']",Lousiana Creole
13,bati,['build'],Lousiana Creole
14,batimen,['ship'],Lousiana Creole
15,batimen-d-ær,['airplane'],Lousiana Creole
16,batis,['building'],Lousiana Creole
17,bato,['boat'],Lousiana Creole
18,baton,['stick'],Lousiana Creole
19,baton-mayi,['nphrcornstalk'],Lousiana Creole
20,bayou,['bayou'],Lousiana Creole
21,bèf,['cow'],Lousiana Creole
22,bèl,['beautiful'],Lousiana Creole
23,bèl,"['girlfriend', ' female lover']",Lousiana Creole
24,bèl-fiy,['daughter-in-law'],Lousiana Creole
0,bèl-mær,"['mother-in-law', ' stepmother']",Lousiana Creole
1,bèl-sœr,['sister-in-law'],Lousiana Creole
2,béñé,['beignet'],Lousiana Creole
3,"bèñé, bèñ","['swim', ' bathe']",Lousiana Creole
4,bèt,"['stupid', ' animal']",Lousiana Creole
