creole_word,word,creole name,
 iron damage,Na all those people way be like say their eye and iron,say if they see iron they must pick they n...,Nigeria
  answer,"Is a wrong answer reply to some one who ask you ""Nieria question"". The word derive from a group o...",Nigeria,
  question,Is a kind of question that some one ask you when they see you doing a particular work or somethin...,Nigeria,
 aba made,Fake or counterfeit products,Nigeria,
 abeg,Please (a polite addition to a request or command),Nigeria,
 abeg fly,Leavego away.,Nigeria,
 abeg limi,Pleaseleave me alone!,Nigeria,
 abero,Street boys characterized by waywardness ,Nigeria,
 abi,is it true? (checking conformity with factreasontruth or some standard or principle),Nigeria,
 abi na wetin,What is it? (Usually used while irritated),Nigeria,
 abj,Abbreviation for Abuja the capital city of nigeria,Nigeria,
 abk,"Is a Slang for the city of ""Abeokuta""... In Ogun State Nigeria",Nigeria,
 aboki,Been foolish or in the dark about things,Nigeria,
 abro,1. A term used to show respect amongst men,Nigeria,
 abs,Slang for Abuja,Nigeria,
 abu,Amadu Bello Univeristy,Nigeria,
 abuna,pussy ,Nigeria,
 acada,1. An intellectual or talks in an intelligent way.  2. A university student  3. a bookworm,Nigeria,
 acata,See Akata: word for African American,Nigeria,
 acatay,A Nigerian who resides abroad but comes back to visit from time to time (mostly during Christmas ...,Nigeria,
 achaba,Motorcycle for public transportusually spoken in northern Nigeria. see: machine,Nigeria,
 acting big man,One exercising of power in the absence of the boss,Nigeria,
 actor,In a movie or playthe most important character.,Nigeria,
 actor and boss,The actor is the main good guy in a movie 'the hero' and the boss is the main adversary to the go...,Nigeria,
 adro,Asylummoney paid to Asylum seekers,Nigeria,
 afa,A way of saying how are youor hello,Nigeria,
 afar,afar means how are you?,Nigeria,
 afta,Afteror later,Nigeria,
 agaba,A Masquerade.,Nigeria,
 agada,Having bow legs,Nigeria,
 agaracha,A woman of easy virtue,Nigeria,
 agbada,1. Large traditional garment usually worn by men over a shirt.,Nigeria,
 agbaya,A bad elderly person,Nigeria,
 agbero,Labourer who carries heavy goods for a fee. ,Nigeria,
 agege bread,a popular low class bread baked in lagos. common among laborers,Nigeria,
 agharacha,Woman of easy virtue,Nigeria,
 agidi,Locally prepared mashed rice cake,Nigeria,
 agro,Feeling Horny,Nigeria,
 ah-ahn!,my goodness!,Nigeria,
 ahlie,"A shortened form of walahiused to affirm a statementin place of ""as in"" or ""right?""",Nigeria,
 aircon,This means airconditioner,Nigeria,
 airforce 1,Flying Witch,Nigeria,
 ajayi,An overachiever or someone that works excessively to impress the authority,Nigeria,
 ajebo,Someone who is was born with a silver spoon in their mouth or who is spoilt and has not experienc...,Nigeria,
