Creole_word,Definition,St. Lucia
zélé,zealous,St. Lucia
"jenn,piti,gwan,vyé,vyé","young,opp",St. Lucia
poulèt,young hen,St. Lucia
"tifi,fi,kabwès,kabwès","young girl, young lady,daughter",St. Lucia
"kabwès,tifi,tifi",young girl,St. Lucia
"zòt,hò,hòt,zò","you, your (pl)",St. Lucia
"wannman,wonnman","yet still, nevertheless, however",St. Lucia
ti,yes,St. Lucia
"jòn,jòn zé",yellow,St. Lucia
"lèlven,yis","yeast, leavening",St. Lucia
"lanné,nanné,Bon Lanné,Labonnlanné,Labonnlanné",year,St. Lucia
lakou,yard,St. Lucia
chaloup,yacht,St. Lucia
"ès,ensi,ès ki,ès si,èskè,ès ki,ès,ès si,ès",Y/N question marker,St. Lucia
èkstré,"x-ray,to x-ray, to take an x-ray",St. Lucia
"ditò,pasdwa,fè ditò","wrong, hurt, harm",St. Lucia
ékwiti,"writings,handwriting",St. Lucia
ékwiven,"writer, author",St. Lucia
ponyèt,wrist,St. Lucia
"plisé,gwiji,gwiji",wrinkled,St. Lucia
anyenditou,worthless (said of a person),St. Lucia
"vè,vè tè",worm,St. Lucia
twavayè,worker,St. Lucia
létabli,work bench,St. Lucia
lenn,"wool,blanket",St. Lucia
zésant,wooden shingle,St. Lucia
"kwazon,klazon",wooden partition in a house,St. Lucia
bawo,wooden bar used for securing a door or window,St. Lucia
poulbwa,"wood ant, termite",St. Lucia
"bwa,gwan bwa,bwa bwa,fè pwan an bwa,chaché,fè fann kann,fè kwazé bwa,fè pwan lavòl,kouwi dèyè,gwan bwa,bwa,lafowé,pwan an bwa,fann kann,fè djip,fè lapousyè,fè lapousyè,fè zéklè,kwazé bwa,kwazé wazyé,pwan lavòl",wood,St. Lucia
"matwis,zantway",womb,St. Lucia
pakouwè,womanizer,St. Lucia
fanm,"woman,womanish; when a young girl rudely tries to act older than she really is",St. Lucia
da,woman who stands in for the mother at a baby's christening,St. Lucia
témwen,witness,St. Lucia
"san,épi,épi,èvèk","without,opp",St. Lucia
pòk,withered,St. Lucia
dibonntèt,"wisdom, intelligence, intellect",St. Lucia
"lasajès,chajès,lachajès,sajès",wisdom,St. Lucia
waya,wire,St. Lucia
zèl,"wing,fin (of a fish)",St. Lucia
"diven,diven wak",wine,St. Lucia
Lildivan,Windward Islands,St. Lucia
finèt,window,St. Lucia
moulavan,windmill,St. Lucia
"volonté,divwa,divwa","will,to volunteer",St. Lucia
"divwa,volonté,volonté","will, intention",St. Lucia
"fawouch,mawon,mawon,sovay,sovay,dosil,dous,dous","wild,opp",St. Lucia
bandja,wild yam,St. Lucia
malanga,wild tanya,St. Lucia
gwandè,"width,age, level of maturity, adulthood",St. Lucia
vèv,widow,St. Lucia
"séléwatè,bonté","wickedness,opp",St. Lucia
"modi,méchan,séléwa,bon,bon","wicked,opp",St. Lucia
"séléwa,méchan,modi,movèz,bon,bon","wicked,opp",St. Lucia
mèch,wick,St. Lucia
"pouki,poutji,pouki pou",why,St. Lucia
lakoklich,whooping cough,St. Lucia
"blan,nwè,blan balenn,bouji,blan zé","white,opp",St. Lucia
"chadon,chadwon,chadon benni,chadon nwè,chadwon nwè","white sea urchin, sea egg (Stronglyocentrus spp.)",St. Lucia
"bétjé,bétjé Kwéyòl",white person,St. Lucia
pòwyé,white cedar,St. Lucia
souflèt,whistle,St. Lucia
"chwichwi,di an zòwèy,palé chwichwi,palé chwichwi,chwichwi",whisper,St. Lucia
wiski,whisky,St. Lucia
"fwèt,kavach,lyenn,lyenn",whip,St. Lucia
"kavach,fwèt,lyenn,lyenn",whip,St. Lucia
"padan,padantan,paditan,patan",while,St. Lucia
"kilès,kilès ki,ki moun ki,sa ki",which,St. Lucia
ki lè,"when, what time",St. Lucia
galé,when one's skin is mottled or marked up from bites or sores,St. Lucia
dimotyé,when a person who has a cow shares profits from sale with a person who has tended it for him,St. Lucia
bwigo,"whelk, sea snail",St. Lucia
woul,wheel,St. Lucia
"ki,ki...ki","what, which,that, which, who,whether...or,either...or",St. Lucia
"koumonnon,kimonnon",what is... name?,St. Lucia
wòf,wharf,St. Lucia
balenn,whale,St. Lucia
loup,"welt, lump",St. Lucia
"byen,byen fèt,ni tò,byen jwenn,tenk,byen pòtan","well,well,to be friendly with,wealth, riches, possessions, goods, belongings, inheritance,opp",St. Lucia
"alò,alòs,tann","well, so",St. Lucia
byenmèsi,"well, quite well, satisfactorily",St. Lucia
"tenk,byen jwenn",well-matched,St. Lucia
pi,well,St. Lucia
"pwa,pwa senkant",weight,St. Lucia
simenn,week,St. Lucia
alyans,wedding ring,St. Lucia
nòs,wedding,St. Lucia
"tan,mové tan",weather,St. Lucia
fèman,weapon,St. Lucia
"fèblès,fòs,kouway","weakness,opp",St. Lucia
"fèb,fò,fò","weak,opp",St. Lucia
nou,"we, us, our",St. Lucia
lasi,"wax,matter, sleep in one's eyes",St. Lucia
"lanm,lanm batan",wave,St. Lucia
pawsad,wattle,St. Lucia
moulon,watermelon,St. Lucia
kouson,watercress,St. Lucia
"dlo,glo,dlo ajenni,dlo dous,dlo gwip,dlo sikwé,mété dlo an bouch","water,tear",St. Lucia
sété,was,St. Lucia
"véwi,pikan véwi,nonm douvan nonm",wart,St. Lucia
mannwa,warship,St. Lucia
"avètisman,vètisman",warning,St. Lucia
"ladjè,lapé","war,opp",St. Lucia
"lavéyé,vèy",wake,St. Lucia
jilyé,waistcoat,St. Lucia
wen,"waist, lower back",St. Lucia
kòbo,vulture,St. Lucia
"vòlkan,lévé vòlkan",volcano,St. Lucia
vwa,voice,St. Lucia
vizyon,vision,St. Lucia
vizé,visa,St. Lucia
vyèj,virgin,St. Lucia
"vyélon,anba gòj",violin,St. Lucia
vinèg,vinegar,St. Lucia
"lyenn,fwèt,kavach,fwèt,kavach,lyenn chasè,lyenn dous,lyenn savon,lyenn wid","vine,branch used as a whip",St. Lucia
vilaj,village,St. Lucia
laviktwa,victory,St. Lucia
"vis,mal pwòpté,vyé lavi,fè vis,fwékanté,kouché,kouché,pwan,pwan","vice, immorality",St. Lucia
faché,"vexed, irritated, cross, annoyed, upset,when you are not speaking with someone because of an unhappy relationship",St. Lucia
joliman,"very, very much",St. Lucia
"toubonnman,toubonmnan,toubwennman,toubonnman kon sa","very, very much",St. Lucia
"dévagondé,dévégondé,mové lam,vyé lam,vyé lam",very bad person,St. Lucia
vèwsé,verse,St. Lucia
vèmin,"vermin, pest",St. Lucia
vlen,venom,St. Lucia
kako,venereal disease,St. Lucia
machann,"vendor, merchant",St. Lucia
wivandèz,vendor,St. Lucia
venn,vein,St. Lucia
vwèl,"veil,sail",St. Lucia
lédjim,vegetable,St. Lucia
venni,"varnish,to varnish",St. Lucia
divès,"various, diverse",St. Lucia
vann,van,St. Lucia
valè,value,St. Lucia
valowab,valuable,St. Lucia
valé,valet,St. Lucia
"kòkòt,chè doudou kòkòt","vagina of a child, sometimes of an older woman",St. Lucia
"vakabon,dwivayèz,dwivayèz","vagabond, loafer,wayward",St. Lucia
vakans,vacation,St. Lucia
lalwèt,uvula,St. Lucia
"pisa,pisa dou",urine,St. Lucia
ovan,"upwind,windward side, east",St. Lucia
anhogwiyen,upstairs,St. Lucia
olanmò,unto death,St. Lucia
"jis,jik,jis a tan,jis lè,jis tan,jisannatandan,jiskatan,jis a tan,jis,jis lè,jis,jis tan,jis tan,jisannatandan,jiskatan,jis,jis lè","until,as far as, up to",St. Lucia
antwèt,"unpredictable, treacherous, without warning",St. Lucia
manmzèl,unmarried young woman,St. Lucia
"anba,èksèpté,èksèpté,tout tan...pa",unless,St. Lucia
pennépis,unleavened bread,St. Lucia
lilyon,unity,St. Lucia
"Anméwik,Lanméwik",United States,St. Lucia
boulòk,unintelligible utterance,St. Lucia
"engwa,mal onnèt,mal onnèt",ungrateful,St. Lucia
pasyalité,unfair advantage,St. Lucia
"lakopwann,inyowans","understanding, comprehension,opp",St. Lucia
tiyo,underground water pipe,St. Lucia
vout,"undercurrent, undertow",St. Lucia
tonton,uncle,St. Lucia
"pawasòl,pawisòl,pawasòl djab,chapo Denmou,chapo djab","umbrella, parasol",St. Lucia
lonbwi,"umbilical cord, navel",St. Lucia
"lèd,bèl,bèl,joli","ugly,opp",St. Lucia
"manmèl,potwin",udder,St. Lucia
taya,tyre,St. Lucia
boukousou,type of pea similar to snow peas,St. Lucia
"dé,dé sou",two,St. Lucia
jimo,twin,St. Lucia
douz,twelve,St. Lucia
tjitjima,turmeric (Curcuma longa),St. Lucia
kodenn,turkey,St. Lucia
ton,tuna,St. Lucia
kou,"try, attempt",St. Lucia
"lavéwité,mansonj","truth,opp",St. Lucia
api,"trust, confidence, weight, support",St. Lucia
mal,"trunk, suitcase",St. Lucia
"véwitabman,vwéman","truly, really",St. Lucia
"anvéwité,anvèyté","truly, in truth, to tell the truth",St. Lucia
